Média (pesos);RC;Área Aberta;Vegetação Secundária;BR 163;Proximidade a área urbana;Estradas vicinais;Tamanho dos imóveis;Imóveis certificados;Declividade;Rios ;Assentamento;Embargo;Floresta;Unidade de Conservação;Terra Indígena;;;
760;0,099368116;0,208682763;0,145820755;0,144126117;0,089285845;0,08972992;0,073149837;0,069862153;0,044702877;0,043181627;0,032182111;0,024464049;0,014730248;0,011103072;0,008978627;;;
913;0,099344298;0,200888172;0,138015656;0,148910215;0,096567985;0,08978528;0,074569095;0,069866982;0,044887332;0,044475272;0,031245475;0,025515716;0,015459723;0,010986691;0,008826404;;;
636;0,099340642;0,194661945;0,140233622;0,151249497;0,105470149;0,083060814;0,078496857;0,066835539;0,043255417;0,046397376;0,030932717;0,025310283;0,014793635;0,010580383;0,008721767;;;
247;0,099338555;0,207985245;0,140534697;0,15003935;0,093547653;0,087084243;0,079519778;0,062583701;0,04491616;0,04241169;0,031865756;0,024798037;0,014802681;0,011186383;0,008724623;;;
340;0,099337792;0,191478807;0,150888257;0,140112217;0,101306425;0,087169749;0,083606985;0,066415973;0,044505761;0,043472113;0,0309127;0,025688661;0,014568358;0,011095618;0,008778376;;;
172;0,09930376;0,194465662;0,141214361;0,148645382;0,107509444;0,081626479;0,078347458;0,06727463;0,04441126;0,045667668;0,030626645;0,025302481;0,015005902;0,011179694;0,008722935;;;
286;0,099301125;0,198339882;0,14475211;0,144111045;0,100112879;0,087810676;0,073755648;0,071373691;0,046478934;0,043806113;0,030379814;0,025197757;0,014314414;0,010836634;0,008730402;;;
987;0,099291319;0,201760098;0,139866733;0,155861527;0,090620159;0,087662063;0,07915763;0,064824574;0,045729494;0,043240814;0,031644555;0,024803571;0,015195772;0,010758662;0,008874349;;;
646;0,099243743;0,204771504;0,14699707;0,140791345;0,09413704;0,087256575;0,078251834;0,066842775;0,044268479;0,045762467;0,031842723;0,024506014;0,014741717;0,010998409;0,008832048;;;
248;0,099236321;0,198748867;0,149407922;0,148573443;0,09486311;0,085119568;0,073678349;0,069732296;0,045720316;0,042079878;0,031687228;0,024621471;0,015740077;0,01131428;0,008713195;;;
789;0,099224316;0,205013238;0,145655109;0,146656217;0,099975182;0,084736312;0,070512706;0,067539978;0,044917399;0,044621134;0,031368497;0,024449696;0,014838702;0,011081564;0,008634265;;;
627;0,099219776;0,196310385;0,150441168;0,151215449;0,098972616;0,079393096;0,077152085;0,066426736;0,044837669;0,043778289;0,031948755;0,024583165;0,014571007;0,01138241;0,00898717;;;
820;0,099209935;0,202942322;0,138059545;0,152020464;0,094692823;0,094337521;0,071501259;0,064736581;0,043746212;0,045028408;0,032605687;0,024843832;0,015590833;0,011030814;0,0088637;;;
785;0,099209578;0,195949344;0,143328559;0,149982485;0,102032398;0,08621144;0,07700827;0,064814897;0,044773212;0,044441292;0,031573068;0,024754071;0,015063491;0,011347975;0,008719498;;;
372;0,099208779;0,206813232;0,147680266;0,134858768;0,104259531;0,088157088;0,072357261;0,06623704;0,044274796;0,044979681;0,030837874;0,025224071;0,015070575;0,010499016;0,008750802;;;
795;0,099195829;0,204136412;0,140204187;0,154334636;0,100286753;0,083723483;0,071153218;0,066761269;0,044798248;0,043127315;0,031620169;0,025436717;0,01455716;0,011081239;0,008779196;;;
640;0,099190658;0,202659863;0,147485245;0,144812465;0,098910784;0,085466167;0,074395228;0,067839717;0,045830466;0,042507676;0,030758102;0,024544092;0,014735632;0,011135393;0,00891917;;;
718;0,099163304;0,200577886;0,141578812;0,145726531;0,102800775;0,084544429;0,079272126;0,066447799;0,045656445;0,042656603;0,030899114;0,025052352;0,014797133;0,0111197;0,008870294;;;
368;0,099130572;0,191585872;0,147651406;0,149019851;0,098868458;0,09203998;0,075038149;0,0651552;0,044970473;0,044624146;0,030694348;0,025278188;0,01499023;0,011236639;0,00884706;;;
253;0,099116909;0,196240731;0,148395375;0,139609187;0,10345464;0,087827284;0,07494467;0,069340763;0,044852454;0,044795628;0,031214261;0,024652173;0,014893317;0,010933396;0,008846121;;;
890;0,099111371;0,202233512;0,151495229;0,143972675;0,090440446;0,083348678;0,078302732;0,066894621;0,045168395;0,045143032;0,032120371;0,025334761;0,015573164;0,011064729;0,008907656;;;
652;0,099096843;0,203990042;0,144692289;0,143877568;0,10363424;0,08198922;0,075796429;0,066493402;0,045227355;0,043432561;0,031297175;0,024816361;0,01513627;0,010929012;0,008688077;;;
449;0,099091982;0,201082275;0,14828124;0,145960744;0,098578765;0,08591595;0,075904473;0,06309943;0,045387631;0,043915552;0,031740267;0,025226177;0,015266055;0,010682059;0,008959381;;;
238;0,099084391;0,201113406;0,15127851;0,136637292;0,102753918;0,086135875;0,069536801;0,068824277;0,045070692;0,047891482;0,031165581;0,024434434;0,015318729;0,011011542;0,008827462;;;
262;0,099083431;0,202709701;0,141245024;0,149630546;0,103478796;0,08435128;0,072413281;0,067897905;0,045672697;0,042176762;0,031491661;0,024428736;0,015100788;0,010635248;0,008767575;;;
673;0,099060808;0,197760584;0,144937001;0,153119515;0,093269592;0,091160915;0,073949824;0,063997496;0,045092718;0,04479447;0,031719634;0,024914918;0,015505394;0,011030139;0,008747799;;;
762;0,099059164;0,198158333;0,148729078;0,152356648;0,099246895;0,082494073;0,07300994;0,0663302;0,04296896;0,045078159;0,030803445;0,025720256;0,015117634;0,011072584;0,008913796;;;
102;0,099058587;0,19679727;0,142666031;0,151935002;0,101129812;0,086783814;0,075960594;0,065079359;0,045214057;0,043812405;0,030664827;0,025214064;0,015320927;0,01060148;0,008820357;;;
66;0,099055562;0,209215333;0,141262312;0,146142097;0,093012028;0,087863203;0,076334426;0,064268176;0,045231136;0,045554038;0,03121996;0,025005966;0,015297029;0,010903157;0,008691138;;;
496;0,099051586;0,19626174;0,13898991;0,148923848;0,103204743;0,087357983;0,080402774;0,066568781;0,044604144;0,042075332;0,031905649;0,025338006;0,014719428;0,01081787;0,008829792;;;
142;0,099042899;0,196951545;0,147549395;0,15019475;0,099571259;0,083258607;0,080588428;0,06360941;0,045560266;0,041515359;0,030989547;0,025593175;0,014680973;0,011114513;0,008822772;;;
504;0,099025991;0,198354026;0,156189617;0,14233088;0,099873091;0,084989163;0,073812303;0,065543405;0,043766294;0,043885297;0,030515012;0,025514572;0,015645133;0,010641296;0,008939912;;;
404;0,098992173;0,196763319;0,143181093;0,14826135;0,093672396;0,089320978;0,080487593;0,066393199;0,046155514;0,043407076;0,032210425;0,024631317;0,015244121;0,011022017;0,009249602;;;
603;0,098991794;0,204835999;0,146630652;0,148350734;0,096167945;0,079678973;0,078593673;0,064204482;0,045029961;0,044518875;0,031953669;0,025024049;0,01502146;0,011131945;0,008857585;;;
574;0,098991648;0,193932975;0,151513833;0,146318737;0,102796504;0,084416484;0,077198364;0,064204723;0,044048729;0,044549454;0,031934266;0,024033283;0,015352559;0,010759981;0,008940108;;;
285;0,098975057;0,207531708;0,145239087;0,143318965;0,097742145;0,087042422;0,072284065;0,065311934;0,045510295;0,043846612;0,031198263;0,025822274;0,014946424;0,011373222;0,008832584;;;
298;0,098974941;0,206676198;0,140078341;0,147795001;0,095490767;0,085271442;0,078129579;0,064912999;0,045796529;0,043275428;0,032292413;0,02547883;0,01514957;0,01072929;0,008923613;;;
379;0,098943645;0,196926822;0,148245842;0,143188529;0,096339821;0,089727377;0,074925181;0,070627151;0,043927593;0,04420709;0,031567834;0,025001818;0,015729068;0,010812062;0,008773811;;;
528;0,09894101;0,206832258;0,145437344;0,143542229;0,097206022;0,090291548;0,073903426;0,063964542;0,044504219;0,043716478;0,03037465;0,025206087;0,015143642;0,011165335;0,00871222;;;
829;0,098927745;0,198226264;0,149662203;0,140829162;0,098641211;0,088618543;0,077201344;0,06874293;0,045201082;0,043245945;0,03023797;0,02465926;0,015003413;0,010886468;0,008844203;;;
